step,queue,avg_wait_time,co2_kg,ambulance_time,firetruck_time
735,22,3.34,0.0795,,
736,22,3.45,0.0927,,
737,22,3.85,0.0928,,
738,22,4.32,0.0905,,
739,21,4.84,0.0898,,
740,21,5.71,0.0853,,
741,21,6.18,0.1013,,
742,21,7.53,0.0836,,
743,22,8.34,0.1008,,
744,24,8.09,0.0779,,
745,24,8.66,0.0745,,
746,24,9.22,0.0529,,
747,23,9.78,0.0622,,
748,23,11.41,0.0428,,
749,23,12.5,0.049,,
750,23,13.21,0.0532,,
751,24,13.93,0.0594,,
752,26,12.81,0.0641,,
753,24,11.5,0.0622,,
754,24,10.97,0.057,,
755,24,11.5,0.0553,,
756,29,9.65,0.065,,
757,27,10.36,0.0752,,
758,28,11.16,0.0876,,
759,28,11.68,0.0959,,
760,32,10.79,0.1021,,
761,32,11.26,0.1147,,
762,32,11.72,0.1176,,
763,34,12.23,0.1217,,
764,35,12.74,0.125,,
765,35,5.95,0.1044,,
766,35,3.33,0.0857,,
767,32,1.4,0.0854,,
768,34,0.63,0.0813,,
769,34,0.74,0.0731,,
770,31,0.87,0.0864,,
771,32,1.11,0.1096,,
772,31,1.33,0.0869,,
773,28,1.55,0.1431,,
774,28,1.77,0.14,,
775,28,2.02,0.1578,,
776,29,2.15,0.1665,,
777,27,2.46,0.1487,,
778,25,2.77,0.1361,,
779,25,3.15,0.1146,,
780,24,3.47,0.112,,
781,22,3.87,0.1116,,
782,22,4.39,0.1126,,
783,21,4.95,0.0957,,
784,22,5.23,0.0797,,
785,22,5.76,0.0936,,
786,22,6.32,0.0778,,
787,22,7.26,0.0878,,
788,23,7.71,0.0906,,
789,22,8.61,0.0613,,
790,22,9.11,0.072,,
791,22,10.18,0.0793,,
792,28,7.91,0.0943,,
793,27,8.5,0.0894,23,
794,27,8.93,0.101,,
795,27,9.35,0.09,,
796,30,10.03,0.0971,,
797,30,10.46,0.1153,,
798,30,10.9,0.1267,,
799,30,11.38,0.115,,
800,32,11.02,0.1266,,
801,32,11.5,0.1099,,
802,32,11.57,0.0881,,
803,32,11.59,0.0622,,
804,32,12.03,0.0608,,
805,32,12.46,0.065,,
806,32,12.92,0.0606,,
807,31,13.49,0.0637,,
808,33,12.84,0.0782,,
809,33,13.76,0.0695,,
810,33,6.9,0.0778,,
811,33,3.57,0.0706,,
812,30,1.48,0.0756,,
813,30,0.74,0.0749,,
814,30,0.73,0.0668,,
815,29,0.72,0.0638,,
816,31,0.88,0.0855,,
817,29,1.12,0.1054,,
818,27,1.35,0.1274,,
819,27,1.64,0.1255,,
820,26,1.86,0.1249,,
821,25,2.12,0.1461,,
822,23,2.49,0.1398,,
823,23,2.83,0.1154,,
824,24,2.95,0.1212,,
825,21,3.29,0.1051,,
826,20,3.65,0.1017,,
827,19,4.27,0.0811,,
828,22,3.78,0.1044,,
829,22,4.16,0.1228,,
830,22,4.56,0.1335,,
831,24,5.1,0.1372,,
832,27,5.29,0.1346,,
833,27,5.73,0.1454,,
834,27,6.38,0.097,,
835,28,7.11,0.0876,,
836,28,7.94,0.0887,,
837,28,8.37,0.0765,,
838,28,9.09,0.0545,,
839,29,9.56,0.057,,
840,30,9.47,0.0553,,
841,29,9.92,0.0575,,
842,29,10.39,0.0568,,
843,28,10.89,0.0569,,
844,28,11.77,0.0595,,
845,28,12.74,0.0632,,
846,28,12.38,0.0684,,
847,27,11.12,0.0775,,
848,29,9.53,0.0724,,
849,29,9.89,0.073,,
850,28,10.13,0.0636,,
851,27,10.89,0.0716,,
852,28,11.73,0.0766,,
853,28,12.64,0.0777,,
854,28,13.63,0.0903,,
855,29,7.2,0.0922,,
856,31,3.08,0.0958,,
857,28,1.44,0.0905,,
858,28,0.54,0.0791,,
859,28,0.67,0.0837,,
860,26,0.85,0.0919,,
861,26,1.05,0.1165,,
862,24,1.26,0.1092,,
863,23,1.5,0.1149,,
864,29,1.35,0.1499,,
865,27,1.6,0.1378,,
866,27,1.81,0.1477,,
867,27,1.94,0.1199,,
868,27,2.15,0.1352,,
869,26,2.4,0.1186,,
870,24,2.67,0.1353,,
871,26,2.87,0.1385,,
872,28,2.88,0.1181,,
873,28,3.1,0.1165,,
874,27,3.5,0.1289,,
875,26,3.89,0.0881,,
876,26,4.23,0.0825,,
877,26,4.83,0.1069,,
878,25,5.12,0.1053,,
879,25,5.42,0.069,,
880,26,5.52,0.0712,,
881,26,6.2,0.0854,,21
882,25,7.19,0.0725,,
883,25,7.92,0.079,,
884,26,8.94,0.0775,,
885,25,9.5,0.0856,,
886,25,10.06,0.0921,,
887,25,10.65,0.0819,,
888,26,9.75,0.095,,
889,26,10.11,0.0853,,
890,25,10.03,0.0911,,
891,26,10.59,0.0502,,
892,25,10.78,0.053,,
893,25,11.31,0.0528,,
894,24,11.84,0.0616,,
895,25,12.41,0.0701,,
896,27,11.56,0.073,,
897,26,12.46,0.0692,,
898,26,13.44,0.0629,,
899,26,14.06,0.067,,
900,31,5.4,0.0725,,
901,30,2.39,0.0848,,
902,27,0.71,0.0963,,
903,27,0.41,0.088,,
904,32,0.49,0.087,,
905,28,0.6,0.0905,,
906,28,0.76,0.1127,,
907,29,0.93,0.1096,,
908,27,1.12,0.1509,,
909,27,1.31,0.1353,,
910,24,1.5,0.0913,,
911,24,1.69,0.1256,,
912,25,1.8,0.1221,,
913,24,2.07,0.1146,,
914,23,2.34,0.0819,,
915,23,2.65,0.0885,,
916,21,2.97,0.0785,,
917,21,3.53,0.0787,,
918,21,3.86,0.0949,,
919,22,4.67,0.088,,
920,24,4.69,0.1101,,
921,24,5.14,0.1025,,
922,24,6.28,0.0851,,
923,23,6.81,0.0826,,
924,23,7.87,0.0462,,
